Date,YEAR,TIME,INCIDENT #,Officer,Command Review,Stop & Frisk,BEAT,Address,OFFENSE,Arrest,WEAPONS,INVSTATUS,AGE,AGE RANGE,RACE,SEX,NAME CODE,AUTHORITY,Dispatched/Self Initiated,SFTYPE,MONTH
2013-07-06,2013,230,201303794,58,NO ACTION,NA,C02,801 E MARKET ST,Assault,no,No,CBAD,UKN,UKN,B,M,OF,All Other,D,Search WITHOUT Stop-Frisk,July
2013-07-06,2013,230,201303794,58,NO ACTION,NA,C02,801 E MARKET ST,Assault,no,No,CBAD,UKN,UKN,W,F,IO,All Other,D,Search WITHOUT Stop-Frisk,July
2013-07-20,2013,200,201304082,58,NO ACTION,NA,C16,301 15TH ST NW,Burglary,no,No,CBAD,19,18 - 24,W,M,OF,All Other,D,Search WITHOUT Stop-Frisk,July
2013-07-21,2013,1650,201304117,51,NO ACTION,NA,C03,401 4TH ST NW,Disorder,no,No,INAS,44,35 - 44,B,F,OF,All Other,D,Search WITHOUT Stop-Frisk,July
2013-07-21,2013,1650,201304117,51,NO ACTION,NA,C03,401 4TH ST NW,Disorder,no,No,INAS,48,45 - 54,B,M,IO,All Other,D,Search WITHOUT Stop-Frisk,July
2013-07-21,2013,1650,201304117,51,NO ACTION,NA,C03,401 4TH ST NW,Disorder,no,No,INAS,48,45 - 54,B,M,OF,All Other,D,Search WITHOUT Stop-Frisk,July
2013-07-21,2013,1650,201304117,51,NO ACTION,NA,C03,401 4TH ST NW,Disorder,no,No,INAS,52,45 - 54,B,M,IO,All Other,D,Search WITHOUT Stop-Frisk,July
2013-07-30,2013,440,201304303,58,NO ACTION,NA,C16,622 PRESTON PL,Larceny,no,No,INAS,26,25 - 34,B,M,OF,All Other,D,Search WITHOUT Stop-Frisk,July
2013-08-30,2013,2245,201304997,69,NA,NA,C01,100 N 1ST ST,Disorder,no,No,INAS,35,35 - 44,W,M,OF,All Other,S,Search WITHOUT Stop-Frisk,Aug
2013-09-05,2013,1251,201305132,13,NA,NA,C02,321 2ND ST NW,Suspicious,no,No,INAS,19,18 - 24,B,F,IO,All Other,S,Search WITHOUT Stop-Frisk,Sept
2013-09-05,2013,1251,201305132,13,NA,NA,C02,321 2ND ST NW,Suspicious,no,No,INAS,20,18 - 24,B,M,IO,All Other,S,Search WITHOUT Stop-Frisk,Sept
2013-09-25,2013,2030,201305641,133,NA,NA,C28,1360 RUGBY AVE,Disorder,no,No,INAS,UKN,UKN,W,M,OF,All Other,S,Search WITHOUT Stop-Frisk,Sept
2013-10-08,2013,2137,201305935,13,NA,NA,C02,605 E MARKET ST,Suspicious,no,No,INAS,18,18 - 24,W,M,IO,All Other,S,Search WITHOUT Stop-Frisk,Oct
2013-10-15,2013,2330,201306102,64,NA,NA,C06,917 PRESTON AVE,Suspicious,no,No,INAS,36,35 - 44,B,F,IO,All Other,D,Search WITHOUT Stop-Frisk,Oct
2013-10-15,2013,2330,201306102,64,NA,NA,C06,917 PRESTON AVE,Suspicious,no,No,INAS,59,55 - 64,B,M,IO,All Other,D,Search WITHOUT Stop-Frisk,Oct
2013-10-15,2013,2330,201306102,69,NA,NA,C06,917 PRESTON AVE,Suspicious,no,No,INAS,24,18 - 24,W,M,IO,All Other,S,Search WITHOUT Stop-Frisk,Oct
2013-11-29,2013,13,201307010,118,NA,NA,C10,102 HARTFORD CT,Disorder,no,No,INAS,19,18 - 24,B,M,OF,All Other,D,Search WITHOUT Stop-Frisk,Nov
2013-12-06,2013,2103,201307182,69,NA,NA,C04,700 PAGE ST,Traffic Stop,no,No,INAS,22,18 - 24,B,M,IO,All Other,S,Search WITHOUT Stop-Frisk,Dec
2013-12-12,2013,43,201307279,46,NA,NA,C16,1413 UNIVERSITY AVE,Suspicious,no,No,INAS,56,55 - 64,B,M,OF,All Other,S,Search WITHOUT Stop-Frisk,Dec
2013-12-29,2013,2017,201307566,35,NA,NA,C27,2000 BARRACKS RD,Disorder,no,No,INAS,25,25 - 34,B,M,OF,All Other,D,Search WITHOUT Stop-Frisk,Dec
2014-01-01,2014,2141,201400025,92,NA,NA,C05,400 2nd ST SE,Aggravated Assault,Felonious Assault,No,CBAD,33,25 - 34,B,M,OF,All Other,D,Search WITHOUT Stop-Frisk,Jan
2014-01-06,2014,2352,201400076,135,NA,NA,C17,137 AMHERST COMMONS,Suspicious,no,No,INAS,65,65 - 74,B,M,IO,All Other,S,Search WITHOUT Stop-Frisk,Jan
2014-01-30,2014,2110,201400565,77,NA,NA,C18,620 NORTH AVENUE,Disorder,no,No,INAS,19,18 - 24,B,M,OF,All Other,D,Search WITHOUT Stop-Frisk,Jan
2014-01-30,2014,2110,201400565,77,NA,NA,C18,620 NORTH AVENUE,Disorder,no,No,INAS,21,18 - 24,B,M,OF,All Other,D,Search WITHOUT Stop-Frisk,Jan
2014-02-08,2014,2350,201400713,59,NA,NA,C15,1501 UNIVERSITY AVE,Disorder,no,No,INAC,20,18 - 24,B,M,OF,All Other,D,Search WITHOUT Stop-Frisk,Feb
2014-04-08,2014,1747,201401826,75,NA,NA,C14,105 LEWIS ST,Suspicious,no,No,INAS,16,17-Nov,B,M,IO,All Other,D,Search WITHOUT Stop-Frisk,April
2014-04-08,2014,1747,201401826,75,NA,NA,C14,105 LEWIS ST,Suspicious,no,No,INAS,21,18 - 24,B,M,OF,All Other,D,Search WITHOUT Stop-Frisk,April
2014-04-27,2014,1415,201402265,90,NA,NA,C20,1551 E HIGH ST,Suspicious,no,No,INAS,31,25- 34,B,M,OF,All Other,D,Search WITHOUT Stop-Frisk,April
2014-05-25,2014,2205,201402832,82,NA,NA,C12,202 HARTMANS MILL ROAD,Suspicious,Warrant for Past Assault,No,CBAD,34,25 - 34,B,M,OF,All Other,S,Search WITHOUT Stop-Frisk,May
2014-06-02,2014,1815,201403008,87,NA,NA,C11,400 GARRETT ST,Liquor Law Violation,no,No,INAS,25,25 - 34,B,M,OF,All Other,D,Search WITHOUT Stop-Frisk,June
